order_id,user_id,created_at,discount_cost,basket
1,1,4/12/2021,10000,12000
2,2,5/9/2021,0,20000
3,3,5/9/2021,10000,14000
4,4,11/10/2021,0,15000
5,5,11/10/2021,10000,16000
6,6,1/1/2022,0,10000
7,7,1/1/2022,0,29500
8,8,1/1/2022,10000,10000
9,9,1/1/2022,0,5000
10,10,1/1/2022,0,35000
11,11,1/1/2022,15000,21000
12,12,1/1/2022,10000,8500
13,13,1/1/2022,0,7000
14,14,1/1/2022,15000,20000
15,15,1/1/2022,10000,5000
16,16,1/1/2022,0,50000
17,17,1/1/2022,0,7000
18,18,1/1/2022,0,20000
19,19,1/1/2022,0,20000
20,20,1/1/2022,0,25000
21,21,1/1/2022,0,7000
22,22,1/1/2022,0,25000
23,23,1/1/2022,0,9000
24,24,1/1/2022,10000,20000
25,25,1/1/2022,10000,12000
26,26,1/1/2022,10000,6000
27,27,1/1/2022,0,10000
28,28,1/1/2022,0,12000
29,29,1/1/2022,0,20000
30,30,1/1/2022,10000,7000
31,31,1/1/2022,10000,11100
32,32,1/1/2022,15000,20000
33,33,1/1/2022,0,15000
34,34,1/1/2022,15000,25000
35,35,1/1/2022,0,30000
36,36,1/1/2022,6000,35000
37,37,1/1/2022,15000,18000
38,38,1/1/2022,0,14000
39,39,1/1/2022,0,15000
40,40,1/1/2022,0,7000
41,41,1/1/2022,15000,20000
42,42,1/1/2022,0,9000
43,43,1/1/2022,10000,9000
44,44,1/1/2022,0,9000
45,45,1/1/2022,12000,18000
46,46,1/1/2022,10000,20000
47,47,1/1/2022,0,20000
48,48,1/1/2022,0,21000
49,49,1/1/2022,10000,10000
50,50,1/1/2022,15000,21000
51,51,1/1/2022,15000,20000
52,52,1/1/2022,10000,28000
53,53,1/1/2022,10000,18000
54,54,1/1/2022,0,10500
55,55,1/1/2022,15000,21000
56,56,1/1/2022,15000,20000
57,57,1/1/2022,10000,14000
58,58,1/1/2022,0,10000
59,59,1/1/2022,0,11400
60,60,1/1/2022,10000,37500
61,61,1/1/2022,15000,21000
62,62,1/1/2022,0,12500
63,63,1/1/2022,15000,30000
64,64,1/1/2022,15000,22000
65,65,1/2/2022,10000,28000
66,66,1/2/2022,10000,26000
67,67,1/2/2022,0,20000
68,68,1/2/2022,0,13000
69,69,1/2/2022,0,10000
70,22,1/2/2022,0,35000
71,70,1/2/2022,10000,13000
72,71,1/2/2022,0,12000
73,72,1/2/2022,15000,65000
